[2011-06-08 01:05:23,988] -- DEBUG -- -> SJOIN 1307513123 #labere +nt :48TAAAABC
[2011-06-08 01:05:24,537] -- DEBUG -- <- registering :Channel Directory
[2011-06-08 01:05:24,538] -- DEBUG -- <- registering :Bot Services
[2011-06-08 01:05:24,538] -- DEBUG -- <- registering :Channel Services
[2011-06-08 01:05:24,538] -- DEBUG -- <- registering :Game Services
[2011-06-08 01:05:24,539] -- DEBUG -- <- registering :Network Announcements
[2011-06-08 01:05:24,539] -- DEBUG -- <- registering :Group Managment Services
[2011-06-08 01:05:24,540] -- DEBUG -- <- registering :Help Services
[2011-06-08 01:05:24,540] -- DEBUG -- <- registering :Host Management Services
[2011-06-08 01:05:24,540] -- DEBUG -- <- registering :Information Service
[2011-06-08 01:05:24,541] -- DEBUG -- <- registering :Memo Services
[2011-06-08 01:05:24,541] -- DEBUG -- <- registering :Nickname Services
[2011-06-08 01:05:24,542] -- DEBUG -- <- registering :Operator Services
[2011-06-08 01:05:24,542] -- DEBUG -- <- registering :SASL Authentication Agent
[2011-06-08 01:05:24,542] -- DEBUG -- <- registering :minecraft
[2011-06-08 01:05:24,543] -- DEBUG -- <- registering :tail shall truncate us
[2011-06-08 01:05:24,543] -- DEBUG -- <- registering :jack
[2011-06-08 01:05:24,544] -- DEBUG -- <- registering :unicorn rainbow poop
[2011-06-08 01:05:24,544] -- DEBUG -- <- registering :Joey
[2011-06-08 01:05:24,544] -- DEBUG -- <- registering :TerrorBite
[2011-06-08 01:05:24,545] -- DEBUG -- <- registering :k
[2011-06-08 01:05:24,546] -- DEBUG -- <- registering :Alyx
[2011-06-08 01:05:24,546] -- DEBUG -- <- registering :Linux User
[2011-06-08 01:05:24,547] -- DEBUG -- <- registering :Josh
[2011-06-08 01:05:24,547] -- DEBUG -- <- registering :CIA Bot (http://cia.vc)
[2011-06-08 01:05:24,547] -- DEBUG -- <- registering :ashie^.^
[2011-06-08 01:05:24,548] -- DEBUG -- <- registering :purple
[2011-06-08 01:05:24,548] -- DEBUG -- <- registering :Got ZNC?
[2011-06-08 01:05:24,549] -- DEBUG -- <- registering :Brandon Rodriguez
[2011-06-08 01:05:24,549] -- DEBUG -- <- registering :Hunter
[2011-06-08 01:05:24,550] -- DEBUG -- <- registering :Mitchell Cooper
[2011-06-08 01:05:24,550] -- DEBUG -- <- registering :CIA Bot (http://cia.vc)
[2011-06-08 01:05:24,551] -- DEBUG -- <- registering :Mitchell Cooper
[2011-06-08 01:05:24,551] -- DEBUG -- <- registering :blowing up snakes
[2011-06-08 01:05:24,552] -- DEBUG -- <- registering :Kelly
[2011-06-08 01:05:24,553] -- DEBUG -- <- registering :PircBot 1.5.0 Java IRC Bot - www.jibble.org
[2011-06-08 01:05:24,553] -- DEBUG -- <- registering :Textual User
[2011-06-08 01:05:24,554] -- DEBUG -- <- registering :...
[2011-06-08 01:05:24,555] -- DEBUG -- <- PING :47Q
[2011-06-08 01:05:24,555] -- DEBUG -- -> PONG :47Q
[2011-06-08 01:01:04,348] -- INFO -- protocol: unloaded modules/protocol/TS6.py
[2011-06-08 01:02:48,934] -- INFO -- initializing uplink and protocol..
[2011-06-08 01:02:48,935] -- INFO -- <-> conection type: plain
[2011-06-08 01:02:48,954] -- INFO -- protocol: loaded modules/protocol/TS6.py
[2011-06-08 01:02:48,954] -- DEBUG -- <- bound to 173.242.127.154
[2011-06-08 01:02:49,047] -- DEBUG -- -> connected to irc.maio.me
[2011-06-08 01:02:51,048] -- DEBUG -- -> UID labere 1 1307512971 +S labere labere.maio.me 127.0.0.1 48TAAAABC :labere irc services
[2011-06-08 01:02:51,048] -- DEBUG -- -> SJOIN 1307512971 #labere +nt :48TAAAABC
[2011-06-08 01:02:51,550] -- DEBUG -- <- registering :Channel Directory
[2011-06-08 01:02:51,551] -- DEBUG -- <- registering :Bot Services
[2011-06-08 01:02:51,551] -- DEBUG -- <- registering :Channel Services
[2011-06-08 01:02:51,552] -- DEBUG -- <- registering :Game Services
[2011-06-08 01:02:51,552] -- DEBUG -- <- registering :Network Announcements
[2011-06-08 01:02:51,553] -- DEBUG -- <- registering :Group Managment Services
[2011-06-08 01:02:51,553] -- DEBUG -- <- registering :Help Services
[2011-06-08 01:02:51,554] -- DEBUG -- <- registering :Host Management Services
[2011-06-08 01:02:51,554] -- DEBUG -- <- registering :Information Service
[2011-06-08 01:02:51,555] -- DEBUG -- <- registering :Memo Services
[2011-06-08 01:02:51,555] -- DEBUG -- <- registering :Nickname Services
[2011-06-08 01:02:51,556] -- DEBUG -- <- registering :Operator Services
[2011-06-08 01:02:51,556] -- DEBUG -- <- registering :SASL Authentication Agent
[2011-06-08 01:02:51,557] -- DEBUG -- <- registering :minecraft
[2011-06-08 01:02:51,557] -- DEBUG -- <- registering :tail shall truncate us
